uniqueID,DateTime,Date,Time,StationName,GroupName,Latitude,Longitude,Benthic Classification Name,Benthic Classification Code,Count,Comments,Active Construction,Algae Color,Algae Located,Aquatic Veg/Decaying Matter,Area 1 Sampled,Area 2 Sampled,Area 3 Sampled,Area 4 Sampled,Barriers To Fish Movement,Bottom Type,Channel Width,Collection Time (Net 1),Collection Time (Net 2),Collection Time (Net 3),Collection Time (Net 4),Cropland,Define Other Bank Composition,Define Other Land Use,Define Other Organism,Describe the Amount and Type of Litter,Discharge Pipes,Fields,Fish Water Quality Indicators,Forest,Housing Development,Indicate Current and Potential Threats,Livestock Pasture,Logging,Mining,Number of Discharge Pipes,Number of Squirts,Odor,Oil and Gas Drilling,Other Land Use,Percent Algae,Percent Bare Soil,Percent Boulders,Percent Cobbles,Percent Grass,Percent Gravel,Percent Other,Percent Rocks,Percent Sand,Percent Shrubs,Percent Silt,Percent Trees,Sanitary Landfill,Silt/Sand/Gravel,Snags/Logs Jabs,Snags/Logs,Stability of Stream,Stream Bed Deposit,Stream Channel Erosion,Stream Channel Shade,Stream Flow,Surface Water Appearance,Trash Dump,Type of Cropland,Type of Mining,Type of Pipes,Urban Uses,Vegetated Jabs,Vegetated,Weather Conditions,Weather Last 72 Hours
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Dragonflies and Damselflies,DD,2,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Scuds,SC,5,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Flatworms,F,6,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Most True Flies,MTF,8,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Clams,CL,26,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Worms,W,50,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Leeches,L,67,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Midges,MI,69,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
09-PL30-Acc-ACC9.40910.0.5,2016-01-03T12:00:00,1/3/16,12:00:00,09-PL30-Acc-ACC9,Virginia Save Our Streams,38.8533,-77.2456,Common Netspinners,CN,168,NULL,,,,,,,,,,rocky,,21-89,21-89,21-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,,,,,,Cool and dry
South Run - 09-PL29-Sou-POH12.40553.0.5,2015-01-11T12:00:00,1/11/15,12:00:00,South Run - 09-PL29-Sou-POH12,Virginia Save Our Streams,38.7431,-77.275,Clams,CL,1,NULL,,Dark Green,In Spots,,1 m sq,1 m sq,1 m.sq,1 m.sq,No Barriers,rocky,20 feet,21-89,21-89,21-89,21-89,,,,,Nothing significant except for few plastics papers.,,,No Fish,High,,Erosion,,,,,,No Odor,,,2,30,20,20,10,,,20,30,10,10,30,,,,,A few spots,Gray,High,Moderate,High,Clear,,,,,,,,,In the 30s (F)
